,Make,Model,Variant,Ex-Showroom_Price,Displacement,Fuel_Type,Body_Type,City_Mileage,Highway_Mileage,Electric_Range,Launch Month,Emission_Norm,Airbags,Type,Gross_Vehicle_Weight,Electric_Range,Battery,Power,Torque
80,Renault,Triber,Rxz,"Rs. 6,63,000",999 cc,Petrol,MUV,,,,August,BS 6,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",Manual,,,,72PS@62050rpm,96Nm@3500rpm
81,Premier,Rio,Gx,"Rs. 5,06,000",1173 cc,Petrol,SUV,13 km/litre,16 km/litre,,August,BS IV,,Manual,1530 kg,,,76.6PS@5800rpm,103.9Nm@3500-4250rpm
82,Premier,Rio,Ex,"Rs. 5,68,623",1489 cc,Diesel,SUV,12 km/litre,16 km/litre,,August,BS IV,,Manual,1530 kg,,,64PS@4000rpm,152Nm@2500RPM
83,Premier,Rio,Glx,"Rs. 6,70,000",1173 cc,Petrol,SUV,13 km/litre,16 km/litre,,August,BS IV,,Manual,1530 kg,,,76.6PS@5800rpm,103.9Nm@3500-4250rpm
84,Premier,Rio,Dx,"Rs. 6,03,000",1489 cc,Diesel,SUV,12 km/litre,16 km/litre,,August,BS IV,,Manual,1530 kg,,,64PS@4000rpm,152Nm@2250RPM
85,Premier,Rio,Lx,"Rs. 7,39,000",1489 cc,Diesel,SUV,12 km/litre,16 km/litre,,August,BS IV,,Manual,1530 kg,,,64PS@4000rpm,152Nm@2250RPM
86,Premier,Rio,Crdi4,"Rs. 7,39,000",1248 cc,Diesel,SUV,20 km/litre,23.7 km/litre,,August,BS IV,,Manual,1530 kg,,,72PS@4000rpm,183Nm@1800-2400rpm
87,Toyota,Etios Liva,G,"Rs. 5,20,300",1197 cc,Petrol,Hatchback,15.1 km/litre,17.71 km/litre,,March,BS IV,"Driver frontal airbag, Front passenger frontal airbag",Manual,1475 kg,,,80PS@5600rpm,104Nm@3100rpm
88,Toyota,Etios Liva,V,"Rs. 5,81,000",1197 cc,Petrol,Hatchback,15.1 km/litre,18.16 km/litre,,March,BS IV,"Driver frontal airbag, Front passenger frontal airbag",Manual,1475 kg,,,80PS@5600rpm,104Nm@3100rpm
89,Toyota,Etios Liva,Gd,"Rs. 6,47,800",1364 cc,Diesel,Hatchback,20.3 km/litre,23.59 km/litre,,March,BS IV,"Driver frontal airbag, Front passenger frontal airbag",Manual,1475 kg,,,68PS@3800rpm,170Nm@1800-2400rpm
90,Toyota,Etios Liva,Vx,"Rs. 6,30,000",1197 cc,Petrol,Hatchback,15.1 km/litre,17.71 km/litre,,March,BS IV,"Driver frontal airbag, Front passenger frontal airbag",Manual,1475 kg,,,80PS@5600rpm,104Nm@3100rpm
91,Toyota,Etios Liva,Vxd,"Rs. 7,45,000",1364 cc,Diesel,Hatchback,20.3 km/litre,23.08 km/litre,,March,BS IV,"Driver frontal airbag, Front passenger frontal airbag",Manual,1475 kg,,,68PS@3800rpm,170Nm@1800-2400rpm
